2600,24.28623,0.61464
2599,24.21502,0.61592
2598,24.14209,0.61723
2597,24.05547,0.61879
2596,23.96638,0.6204
2595,23.85905,0.62235
2594,23.73604,0.62459
2593,23.60431,0.62701
2592,23.47434,0.62941
2591,23.34175,0.63187
2590,23.20172,0.63448
2589,23.06458,0.63705
2588,22.91595,0.63986
2587,22.77653,0.64251
2586,22.6328,0.64526
2585,22.50218,0.64778
2584,22.36952,0.65034
2583,22.22563,0.65315
2582,22.09348,0.65574
2581,21.99526,0.65767
2580,21.91773,0.6592
2579,21.8605,0.66034
2578,21.81829,0.66118
2577,21.78642,0.66181
2576,21.76469,0.66225
2575,21.76103,0.66232
2574,21.75833,0.66237
2573,21.75064,0.66253
2572,21.74581,0.66262
2571,21.73956,0.66275
2570,21.7336,0.66287
2569,21.71965,0.66315
2568,21.70625,0.66342
2567,21.68595,0.66382
2566,21.65801,0.66438
2565,21.62304,0.66508
2564,21.58356,0.66588
2563,21.53913,0.66677
2562,21.49078,0.66775
2561,21.44761,0.66862
2560,21.40029,0.66958
2559,21.36094,0.67038
2558,21.33133,0.67098
2557,21.3111,0.67139
2556,21.28539,0.67192
2555,21.27091,0.67221
2554,21.25556,0.67253
2553,21.24743,0.67269
2552,21.24466,0.67275
2551,21.24381,0.67277
2550,21.24478,0.67275
2549,21.24386,0.67277
2548,21.24254,0.67279
2547,21.2366,0.67292
2546,21.21721,0.67331
2545,21.19997,0.67366
2544,21.17299,0.67422
2543,21.1341,0.67502
2542,21.09248,0.67587
2541,21.05216,0.6767
2540,20.99567,0.67787
2539,20.93518,0.67912
2538,20.86882,0.6805
2537,20.79424,0.68206
2536,20.69789,0.68407
2535,20.59019,0.68634
2534,20.45871,0.68912
2533,20.31727,0.69213
2532,20.16887,0.69532
2531,20.01191,0.69871
2530,19.85626,0.7021
2529,19.70084,0.70552
2528,19.53498,0.70919
2527,19.37219,0.71282
2526,19.21345,0.71639
2525,19.05155,0.72007
2524,18.88131,0.72397
2523,18.71987,0.7277
2522,18.55383,0.73157
2521,18.39911,0.7352
2520,18.24993,0.73874
2519,18.11461,0.74197
2518,17.98049,0.7452
2517,17.86058,0.7481
2516,17.75274,0.75073
2515,17.6594,0.75302
2514,17.58384,0.75489
2513,17.53476,0.7561
2512,17.50266,0.7569
2511,17.48525,0.75733
2510,17.48166,0.75742
2509,17.50106,0.75694
2508,17.53077,0.7562
2507,17.57147,0.75519
